,ISBN_13,Title,Author,Publisher,Rating,NumofRatings,PublicationDate,Price_KRW,PageNum
0,9780691010182,Econometrics,Fumio Hayashi,Princeton University Press,4.08,108,2000-11-19,93988,712
1,9780691120355,Mostly Harmless Econometrics : An Empiricist's Companion,Joshua Angrist,Princeton University Press,4.15,855,2011-02-21,33544,392
2,9781405182577,A Guide to Econometrics,Peter Kennedy,John Wiley and Sons Ltd,4.17,291,2008-05-16,48212,598
3,9781118533840,Econometrics For Dummies,R Pedace,John Wiley & Sons Inc,3.82,50,2013-07-09,31251,368
4,9780262232586,Econometric Analysis of Cross Section and Panel Data,Jeffrey M. Wooldridge,MIT Press Ltd,4.3,146,2010-10-01,96700,1096
5,9781108436823,Introductory Econometrics for Finance,Chris Brooks,Cambridge University Press,3.95,73,2020-02-21,86123,724
6,9780071755474,"Schaum's Outline of Statistics and Econometrics, Second Edition",Dominick Salvatore,McGraw-Hill Education - Europe,4.17,69,2011-03-24,30384,336
7,9780691043012,The Econometrics of Financial Markets,John Y. Campbell,Princeton University Press,3.98,52,1996-12-29,88426,632
8,9783030801489,Econometrics,Badi H. Baltagi,Springer Nature Switzerland AG,0.0,0,2022-02-23,80116,485
9,9781137375018,Econometrics by Example,Damodar Gujarati,Bloomsbury Publishing PLC,4.46,56,2014-12-04,90141,504
10,9781292264455,"Introduction to Econometrics, Global Edition",James Stock,Pearson Education Limited,3.53,209,2019-05-13,84702,800
11,9781119510567,Principles of Econometrics,R. Carter Hill,John Wiley & Sons Inc,3.77,70,2018-02-23,82166,904
12,9780470845677,Bayesian Econometrics,Gary Koop,John Wiley & Sons Inc,4.47,15,2003-07-16,76638,376
13,9781523285136,Using R for Introductory Econometrics,Florian Heiss,Createspace Independent Publishing Platform,4.53,17,2016-02-05,33067,356
14,9780071348522,Schaum's Outline of Statistics and Econometrics,Dominick Salvatore,McGraw-Hill Education - Europe,4.17,69,2001-11-16,35536,336
15,9798648436763,Using Python for Introductory Econometrics,Daniel Brunner,Independently Published,0.0,0,2020-05-25,35361,430
16,9781119472117,A Guide to Modern Econometrics 5th Edition,M Verbeek,John Wiley & Sons Inc,3.67,45,2017-10-30,72672,520
17,9781846191718,Applied Econometrics for Health Economists : A Practical Guide,Andrew Jones,Taylor & Francis Ltd,4.0,1,2007-06-01,47617,128
18,9781405117203,Introduction to Modern Bayesian Econometrics,Tony Lancaster,John Wiley and Sons Ltd,3.54,13,2004-06-25,56254,416
19,9780077104283,Econometrics,Samuel Cameron,McGraw-Hill Education - Europe,0.0,0,2005-02-16,83092,480
20,9780521547871,Applied Time Series Econometrics,Helmut Lutkepohl,Cambridge University Press,4.33,15,2004-08-04,54017,352
21,9780262034906,A Primer in Econometric Theory,John Stachurski,MIT Press Ltd,4.4,5,2016-08-05,72885,448
22,9780470015124,Introduction to Econometrics,G. S. Maddala,John Wiley & Sons Inc,4.29,28,2010-01-07,86888,654
23,9781316630334,Financial Econometrics : Models and Methods,Oliver Linton,Cambridge University Press,5.0,1,2020-02-21,77176,572
24,9788132104698,Principles of Econometrics : An Introduction (Using R),Neeraj R Hatekar,SAGE Publications India Pvt Ltd,3.0,2,2010-11-10,43201,464
25,9780470998014,Market Risk Analysis : Practical Financial Econometrics,Carol Alexander,John Wiley & Sons Inc,4.56,16,2008-06-10,82431,416
26,9780262731836,Student's Solutions Manual and Supplementary Materials for Econometric Analysis of Cross Section and Panel Data,Jeffrey M. Wooldridge,MIT Press Ltd,4.41,17,2011-07-01,52362,392
27,9780521542241,Introduction to the Mathematical and Statistical Foundations of Econometrics,Herman J. Bierens,Cambridge University Press,0.0,0,2011-01-04,57025,344
28,9780691161433,High-Frequency Financial Econometrics,Yacine Ait-Sahalia,Princeton University Press,0.0,0,2014-07-21,70249,688
29,9780521279680,Applied Nonparametric Econometrics,Daniel J. Henderson,Cambridge University Press,4.67,3,2016-03-29,56856,380
30,9781983486562,Using R for Principles of Econometrics,Constantin Colonescu,Createspace Independent Publishing Platform,5.0,1,2018-02-06,47093,306
31,9781107191174,The Elements of Financial Econometrics,Jianqing Fan,Cambridge University Press,0.0,0,2019-01-22,90307,392
32,9780470744031,A Companion to Econometric Analysis of Panel Data,Badi H. Baltagi,John Wiley & Sons Inc,4.5,2,2009-06-10,58192,308
33,9780230250239,Experimetrics : Econometrics for Experimental Economics,Peter Moffatt,Bloomsbury Publishing PLC,5.0,2,2015-12-04,89135,496
34,9780470032701,Introduction to Econometrics,Gary Koop,John Wiley & Sons Inc,4.17,6,2008-04-11,74230,384
35,9783030539528,Econometric Analysis of Panel Data,Badi H. Baltagi,Springer Nature Switzerland AG,0.0,0,2021-05-12,83893,424
36,9780195301649,"Empirical Market Microstructure : The Institutions, Economics, and Econometrics of Securities Trading",Joel Hasbrouck,Oxford University Press Inc,3.62,34,2007-01-18,82275,208
37,9781107436770,Introduction to Bayesian Econometrics,Edward Greenberg,Cambridge University Press,3.25,8,2018-07-23,49623,270
38,9781597183550,Environmental Econometrics Using Stata,Christopher F. Baum,Stata Press,3.0,1,2021-05-10,95859,416
39,9781847207760,Putting Econometrics in its Place : A New Direction in Applied Economics,G. M.P. Swann,Edward Elgar Publishing Ltd,3.67,3,2008-05-30,58881,264
40,9780199576791,Econometric Methods for Labour Economics,Stephen Bazen,Oxford University Press,5.0,2,2011-11-07,86227,162
41,9780521586115,Nonparametric Econometrics,Adrian Pagan,Cambridge University Press,4.2,5,2006-02-23,62839,444
42,9783642403392,Spatial Econometrics : From Cross-Sectional Data to Spatial Panels,J. Paul Elhorst,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,5.0,2,2013-10-11,98967,119
43,9780415094009,Econometrics and Data Analysis for Developing Countries,Chandan Mukherjee,Taylor & Francis Ltd,5.0,1,1998-01-16,94949,520
44,9789811249471,Dynamic Econometrics For Empirical Macroeconomic Modelling,Ragnar Nymoen,World Scientific Publishing Co Pte Ltd,0.0,0,2021-08-26,95612,588
45,9781496013866,Econometrics : A Simple Introduction,K H Erickson,Createspace Independent Publishing Platform,0.0,0,2014-03-04,13478,102
46,9781108437493,Bayesian Econometric Methods,Joshua Chan,Cambridge University Press,0.0,0,2019-10-31,73773,486
47,9780415407090,Econometrics,Jan Tinbergen,Taylor & Francis Ltd,4.5,4,2006-08-01,64618,276
48,9780333495438,Econometrics,John Eatwell,Palgrave Macmillan,0.0,0,1990-02-23,53686,285
49,9781258766603,Econometrics,Gerhard Tintner,"Literary Licensing, LLC",0.0,0,2013-07-20,82600,384
50,9786137437629,Econometrics,Tara Prasad Bhusal,LAP LAMBERT Academic Publishing,0.0,0,2018-04-10,90921,380
51,9780367403447,Econometrics,Peter Schmidt,Taylor & Francis Ltd,0.0,0,2019-09-07,86502,282
52,9781118032107,Using Excel for Principles of Econometrics,Genevieve Briand,John Wiley & Sons Inc,4.0,3,2012-02-17,58700,484
53,9780199578009,Non-Parametric Econometrics,Ibrahim Ahamada,Oxford University Press,0.0,0,2011-03-01,97023,176
54,9781108483407,An Introduction to the Advanced Theory and Practice of Nonparametric Econometrics : A Replicable Approach Using R,Jeffrey S. Racine,Cambridge University Press,0.0,0,2019-06-27,69028,434
