nation,year,ecperpop,gdpperpop,eprice,hdd,accrndperpop
1,1985,4.815150711,14859.21509,27.57,6272.72,72.91187128
1,1986,5.023807656,15718.20017,14.3,5977.18,77.11036738
1,1987,5.04835911,16311.02872,18.55,6144.35,76.24694492
1,1988,4.816974222,16755.26728,13.89,5721.44,83.50173091
1,1989,4.984020238,17517.99727,17.82,5292.45,92.14289882
1,1990,4.966903031,18463.77087,18.46,5196.17,99.6401433
1,1991,5.104959526,19579.98099,19.78,5504.97,109.5354933
1,1992,5.159578079,20625.87159,19.07,5485.84,121.6795011
1,1993,5.460595401,21584.5911,16.11,5795.22,132.1529293
1,1994,5.315206749,23026.47263,14.44,5807.65,132.8119153
1,1995,5.39137229,24362.69458,16.41,5763.87,124.4446935
1,1996,5.201834416,26827.75449,21.62,5956,116.626327
1,1997,5.475172514,28609.60726,16.71,5534.67,109.3266387
1,1998,5.684801753,28202.23613,12.23,5783.77,102.4205376
1,1999,5.913380241,30573.13734,17.46,5563.16,96.0491595
1,2000,5.826131665,36988.65878,28.91,5334.5,90.68817173
1,2001,5.954919494,37827.47076,23.43,5760.83,85.67070334
1,2002,5.502013262,38057.57549,24.46,5474.51,81.72044506
1,2003,5.934688849,38683.29565,30.41,5387.57,78.35765093
1,2004,6.232048588,42671.12953,39.2,5431.36,74.88739031
1,2005,6.319954197,47969.88536,53.08,5365.38,73.12233835
1,2006,6.319259043,54362.23635,58.83,5228.96,70.76675738
1,2007,5.864320485,56177.47985,70.16,5404.05,71.47311709
1,2008,6.741306757,62075.51376,80.22,5450.1,71.91072834
1,2009,6.527822303,55617.6798,69.08,5527.4,92.04516241
1,2010,6.705727848,58229.71303,81.06,6205.66,122.7760463
1,2011,5.616293186,62461.20278,111.18,5198.76,150.3277047
1,2012,6.171673467,65768.75327,108.23,5783.7,179.0525716
1,2013,6.455097673,67372.92818,109.07,5492.84,248.5316919
2,1985,4.185036755,14386.0404,27.62,3416.11,9.345780814
2,1986,4.317924168,15002.96299,14.38,3330.68,10.90472741
2,1987,4.388328512,15567.20689,17.6,3381.93,12.33295231
2,1988,4.32165328,16562.49704,14.58,2772.12,13.44071201
2,1989,4.324426325,17868.49793,17.56,2620.05,14.6048641
2,1990,4.488710505,19182.31593,21.83,2582.06,16.33373176
2,1991,4.620698657,20151.56969,18.86,3022.8,17.87507832
2,1992,4.549213546,20805.03766,18.13,2718.02,18.68808511
2,1993,4.616697257,21413.7066,15.53,2967.41,20.50937532
2,1994,4.607603514,22385.36949,15.2,2745.25,21.44255242
2,1995,4.732258301,23446.9927,16.92,2822.84,22.52127281
2,1996,4.949808441,24516.3215,20.39,3452.64,23.96973251
2,1997,4.788846076,26016.40203,18.37,2871.12,25.47658017
2,1998,4.794487625,27709.97377,11.98,2662.92,26.8709486
2,1999,4.685213873,29268.68549,16.97,2551.85,28.2048255
2,2000,4.695361309,31875.98906,27.59,2496.48,28.19351289
2,2001,4.783256229,33186.91417,23.48,2728.84,29.26915923
2,2002,4.804593446,34447.05337,23.99,2594.89,29.38676804
2,2003,4.959475949,34151.98405,27.67,2762.17,28.74038333
2,2004,4.985696586,35809.49984,35.02,2772.07,28.36156727
2,2005,4.893727408,37625.25244,50,2650.18,28.22538098
2,2006,4.840788895,41011.39358,61.47,2566.51,28.42169839
2,2007,4.812383284,43943.90975,68.74,2424.77,29.74155457
2,2008,4.755074157,46419.04259,97.89,2697.32,29.90100915
2,2009,4.665891972,44558.44026,60.54,2727.14,32.57640358
2,2010,4.978878016,45042.66621,78.55,3311.71,38.52335176
2,2011,4.611912701,46599.22766,109.19,2516.57,38.13126764
2,2012,4.599234269,47271.96823,111.54,2817.13,37.76462094
2,2013,4.488637818,49242.78671,108.55,3012.96,37.66716518
3,1985,3.774181897,14639.30369,28.3,4067.97,33.95788924
3,1986,3.823624645,15645.10193,15.83,3920.07,36.43333691
3,1987,3.819954812,16050.79497,17.84,4071.66,40.01024554
3,1988,3.642448207,16604.9977,14.82,3359.74,44.23863105
3,1989,3.414257976,17360.53657,17.16,3151.18,49.03348778
3,1990,3.375453395,18247.65083,23.18,3084.85,57.29215351
3,1991,3.73571726,19075.69097,20.68,3502.41,62.4668246
3,1992,3.562885657,19826.83225,19.55,3148.59,68.68872634
3,1993,3.645909711,20228.54988,17.17,3572.27,71.26050646
3,1994,3.761963991,21691.16589,16.12,3421.25,72.27939602
3,1995,3.711269294,22711.7946,17.49,3549.28,72.19333429
3,1996,4.173332221,23746.21915,21.25,4035.52,72.37920029
3,1997,3.850331742,24928.30267,20.15,3490.29,76.16214107
3,1998,3.775486182,25820.591,13.49,3410.83,81.21792456
3,1999,3.606053718,26657.82737,17.71,3202.85,87.36723781
3,2000,3.492748453,28672.3303,29.66,3112.07,98.07101675
3,2001,3.588367088,29452.76071,24.82,3494.43,104.2493192
3,2002,3.537606608,30639.95369,24.88,3189.34,96.069606
3,2003,3.731826743,30825.22559,29.68,3325.61,89.71277994
3,2004,3.600696663,32948.16657,38.78,3309.22,88.00016869
3,2005,3.486720219,34152.88166,54.4,3261.34,90.19555252
3,2006,3.731484035,37333.84624,66.92,3084.26,97.2585963
3,2007,3.629190743,39021.41193,74.94,3000.97,107.2728919
3,2008,3.516655608,41282.99547,96.48,3019.35,115.6851028
3,2009,3.333670928,40332.51663,62.87,3230.76,115.0176672
3,2010,3.50823142,43006.15052,80.4,3982.16,139.4671381
3,2011,3.229650632,44407.94207,112.77,3148.45,153.7061717
3,2012,3.087298654,44808.54921,107.9,3424.15,172.4121459
3,2013,3.078920493,46742.93966,107.25,3396.28,203.8954984
4,1985,4.597883259,14503.62726,27.93,3665.22,2.553403893
4,1986,4.588857309,15129.85843,14.88,3557,2.582255138
4,1987,4.61653866,15715.71663,18.32,3702.66,2.512598681
4,1988,4.629288797,16787.49217,15.26,3089.35,2.485776364
4,1989,4.51513908,17995.92576,18.23,2985.04,2.444595551
4,1990,4.421749772,19480.55735,23.17,2957.58,2.401580625
4,1991,4.303214763,21006.91685,20.36,3403.08,2.371695996
4,1992,4.191078105,21755.46889,19.13,3106.43,2.296707884
4,1993,4.123065241,21932.07973,16.88,3297.91,2.227015189
4,1994,4.089203875,22879.40387,15.81,3004.46,2.191554173
4,1995,4.119895327,23672.89333,17.07,3264.5,2.185023174
4,1996,4.247277117,24211.20042,20.68,3822.29,2.259699988
4,1997,4.203570986,24730.82707,19.01,3228.41,2.242923364
4,1998,4.177534548,25532.74858,12.48,3135.18,2.215857495
4,1999,4.080121907,26510.2287,17.51,3003.63,2.178050858
4,2000,4.094281164,27456.26277,28.09,2842.27,2.110556579
4,2001,4.209997711,28663.89535,24.15,3216.74,2.225030079
4,2002,4.10862155,29504.28924,24.4,3052.98,2.231494002
4,2003,4.096472764,30270.99225,28.44,3221.84,2.260236698
4,2004,4.131609539,31741.87573,36.65,3174.13,2.329007772
4,2005,4.109874859,32236.74099,52.3,3149.06,2.367587219
4,2006,4.235943801,34664.54191,63.29,3024.04,2.431948338
4,2007,4.023733975,36863.11335,71.6,2820.38,2.536132744
4,2008,4.081885325,38432.44821,96.7,2985.84,2.830301941
4,2009,3.821626126,37465.45632,61.18,3081.38,3.852268211
4,2010,4.029828166,39675.00238,78.49,3635.4,5.118642314
4,2011,3.891872612,42541.51313,110.63,2873.02,6.432190051
4,2012,3.91344442,43359.54105,112.21,3130.93,7.826458872
4,2013,3.986181268,44993.66784,109.62,3289.06,9.442950622
5,1985,7.457106171,18192.3264,26.78,4694,3.997843191
5,1986,7.376428202,19027.64632,14.71,4326,4.393348512
5,1987,7.622523619,19993.22608,17.73,4373,4.691458752
5,1988,7.850535754,21367.89616,14.33,4662,4.865269286
5,1989,7.89082358,22804.67446,17.5,4716,5.076221641
5,1990,7.669455245,23835.31923,21.07,4051,5.343327262
5,1991,7.629847499,24289.54759,18.23,4225,5.707588369
5,1992,7.675628935,25378.62464,17.73,4444,6.289312792
5,1993,7.708113588,26350.49293,15.87,4709,6.8934444
5,1994,7.755088392,27660.26836,15.06,4480,7.890751962
5,1995,7.760877541,28657.51272,16.74,4519,9.074565585
5,1996,7.841584345,29932.15777,20.16,4683,9.785552398
5,1997,7.825527466,31424.43893,18.34,4532,10.31742108
5,1998,7.800434972,32817.982,12.02,3985,10.90892627
5,1999,7.920049704,34479.79436,17.06,4154,11.64301662
5,2000,8.055144525,36299.66218,27.54,4422,12.5027099
5,2001,7.824245276,37100.28574,22.07,4200,13.43009518
5,2002,7.840460623,37954.22201,23.52,4310,14.25137809
5,2003,7.791303659,39419.90737,27.66,4495,14.34964877
5,2004,7.878535722,41659.66269,35.86,4308,14.37897202
5,2005,7.843390212,44052.383,48.82,4323,14.75300564
5,2006,7.694405379,46234.10571,59.17,4022,14.85088717
5,2007,7.756015797,47976.20121,66.77,4258,15.35352509
5,2008,7.484831185,48498.44521,94.97,4488,16.1712121
5,2009,7.053359896,47122.98854,58.83,4482,21.67138066
5,2010,7.163212315,48570.28973,76.02,4473,24.27303826
5,2011,7.01487766,49951.90765,102.43,4324,25.00039728
5,2012,6.839183733,51644.99166,101.16,3780,25.90669528
5,2013,6.911717289,53116.52197,97.26,4491,27.66692962
6,1985,1.843293054,9404.647692,27.15,2006.85,1.247695814
6,1986,1.876363961,9876.097641,13.87,2057.92,1.223934631
6,1987,1.916844599,10655.43363,18.29,1854.14,1.187151372
6,1988,2.065817919,11567.81354,14.42,1873.69,1.159185689
6,1989,2.26936824,12577.2207,17.22,1674.17,1.094918078
6,1990,2.318350044,13520.86046,21.88,1797.76,1.066980106
6,1991,2.399745958,14308.61081,18.5,2103.43,1.731171623
6,1992,2.43149448,14736.2241,17.31,1977.46,1.817374311
6,1993,2.319819336,14897.34244,15.13,2076.01,1.756240462
6,1994,2.436041674,15550.19652,15.24,1751.11,1.764751339
6,1995,2.537356591,16290.47236,16.96,1552.85,1.743677527
6,1996,2.489629615,16982.1802,20.45,1833.66,1.677539273
6,1997,2.635207703,17916.03217,18.34,1511.54,1.617524094
6,1998,2.756896057,19101.54459,11.8,1777.5,1.636672454
6,1999,2.879240991,19962.79211,16.99,1858.04,1.574124299
6,2000,2.992475265,21595.5949,27.16,1814.6,1.541414591
6,2001,3.055164851,23001.07844,23.32,1787.38,1.468114655
6,2002,3.096598261,24376.32871,23.95,1680.7,1.376616358
6,2003,3.14475954,25042.28983,28.13,1776.37,1.339369661
6,2004,3.231000356,26182.03929,36.03,1935.16,1.268784275
6,2005,3.238835019,27600.93718,50.54,1962.13,1.216847008
6,2006,3.18488144,30743.71395,60.99,1684.49,1.222669644
6,2007,3.168316989,32467.04099,68.66,1829.89,1.274940232
6,2008,3.013102468,33242.24543,94.86,1864.97,1.362788748
6,2009,2.749573786,32089.52756,59.78,1720.56,1.601273254
6,2010,2.736022475,31690.88769,77.84,1953.46,2.017361236
6,2011,2.684703655,31872.36309,108.5,1572.46,2.896331223
6,2012,2.677563207,31724.78535,109.48,1873.15,3.360908171
6,2013,2.506844556,32463.12368,106.77,1921.25,3.259107805
7,1985,5.655911625,15938.50738,27.51,6266.57,137.9831074
7,1986,5.878498759,16657.19116,14.67,5732.65,150.2342481
7,1987,5.762701813,17582.74327,18,6067.09,157.3316762
7,1988,5.854098207,18584.68771,14.73,5452.93,161.7309393
7,1989,5.594163353,19692.94191,18.05,4945.69,169.7153012
7,1990,5.514185694,20425.56521,23.02,4893.23,177.3809712
7,1991,5.650211851,20733.81892,20.19,5276.25,184.4552616
7,1992,5.369018345,20837.30306,18.98,5136.6,194.0408519
7,1993,5.333909575,20769.11905,16.6,5452.62,198.2440237
7,1994,5.660000676,21890.35983,15.81,5495.59,201.0798243
7,1995,5.701860123,23107.28979,17.23,5464.56,202.6952328
7,1996,5.824794234,23934.10554,20.86,5699.17,208.1150684
7,1997,5.683434849,24805.66005,18.9,5213.06,207.891164
7,1998,5.783430639,25888.36239,12.61,5493.29,205.1244188
7,1999,5.675286375,27471.4765,17.68,5262.84,209.6559475
7,2000,5.375721136,29624.02136,28.13,4925.62,218.8947179
7,2001,5.701687383,29933.2096,24.03,5422.89,235.5494033
7,2002,5.826356645,30926.361,23.86,5210.9,259.8580469
7,2003,5.676566537,31816.57172,28.6,5224.63,283.9604802
7,2004,5.8729972,33858.9215,36.47,5281.26,291.7283853
7,2005,5.711680305,34244.35929,51.78,5085.06,286.9904636
7,2006,5.532731326,37727.72514,62.5,4985.68,290.8524756
7,2007,5.464417557,40910.3244,70.13,5069.6,303.6947305
7,2008,5.383724894,42158.29643,95.09,5074.88,314.2823083
7,2009,4.89142779,40279.87889,60.58,5294.04,352.3535672
7,2010,5.443302082,42221.7602,79,5986.18,374.526093
7,2011,5.28244883,44608.58489,110.67,4895.71,392.9390948
7,2012,5.296984184,45432.43101,112.36,5471.41,418.0135145
7,2013,5.180631505,46312.3974,109.1,5155.24,443.8984091
8,1985,3.051691848,14589.05163,28.74,4118.32,8.436894935
8,1986,3.061774204,15215.69933,16.28,4007.53,9.016490696
8,1987,3.174959001,15793.56575,18.81,4056.48,9.195715647
8,1988,3.204744113,16865.67611,16.21,3731,9.679152484
8,1989,3.13915517,18126.30828,19.1,3595.02,9.477165063
8,1990,3.240490502,19473.07213,24.58,3653.29,9.236822016
8,1991,3.415521895,20617.57916,22.55,4007.59,9.136481635
8,1992,3.245879933,21293.2684,20.35,3595.32,8.934042274
8,1993,3.256159659,21732.87118,18.02,3766.17,9.096083351
8,1994,3.234830934,22642.84157,16.99,3367.48,9.526882615
8,1995,3.374064168,23698.10309,18.78,3799.04,9.854958198
8,1996,3.580844667,24560.61534,22.06,4119.39,10.17833758
8,1997,3.550935544,25426.66191,21.31,3684.86,10.42248496
8,1998,3.606965159,26675.64969,14.34,3714.68,10.43578369
8,1999,3.592197162,27606.48424,17.54,3670.18,10.5368015
8,2000,3.570962281,29381.67283,29.39,3408.97,10.56340786
8,2001,3.758753878,29708.48945,25.32,3747.09,10.8188155
8,2002,3.771658455,31178.05144,24.64,3480.79,10.88407825
8,2003,3.958491029,32158.45953,29.59,3703.61,10.59282177
8,2004,3.997335925,33784.4468,38.21,3737.74,10.88697655
8,2005,4.085576196,35024.55748,53.15,3853.61,11.14056833
8,2006,4.105008885,37662.88804,64.44,3649.35,11.40458671
8,2007,4.010276318,39437.0388,71.86,3363.28,11.38360169
8,2008,4.027859744,41316.02264,103.05,3444.43,13.26747021
8,2009,3.820303896,40927.55637,60.69,3504.84,16.66458273
8,2010,4.06622646,42019.00589,80,3905.88,21.95469824
8,2011,3.929053634,44469.20964,110.92,3409.28,27.72577033
8,2012,3.900876671,46477.65508,112.5,3552.85,31.96799664
8,2013,3.926046598,47936.67796,110.63,3635.43,35.7881642
9,1985,1.09381717,7568.144968,29.15,1395.19,0.269697011
9,1986,1.208444339,8040.264873,16.2,1509.4,0.297533209
9,1987,1.241172696,8779.763139,18.74,1236.86,0.336815095
9,1988,1.299551579,9795.666002,15.62,1296.84,0.39602384
9,1989,1.575812094,10869.12978,18.07,1145.07,0.446633091
9,1990,1.680920921,11766.45396,22.75,1236.54,0.556241379
9,1991,1.703273065,12731.74482,19.64,1464.02,0.584507557
9,1992,1.813615854,13169.05979,18.03,1257.57,0.576748532
9,1993,1.78631023,13191.05581,16,1399.62,0.601412433
9,1994,1.827648932,13570.07718,15.72,1130.96,0.583339261
9,1995,2.013928341,14407.0664,17.22,925.05,0.601143736
9,1996,1.986795535,14921.73824,20.35,1231.36,0.608012005
9,1997,2.0834947,15788.63062,18.95,903.76,0.61079169
9,1998,2.240114266,16687.43897,12.21,1139.31,0.568642653
9,1999,2.390331879,17718.19956,17.38,1261.16,0.537621024
9,2000,2.390208338,18880.30375,28.2,1263.95,0.510972375
9,2001,2.391360223,19528.68953,24.02,1246.56,0.497863937
9,2002,2.477631045,20356.72156,24.27,1137.33,0.465130438
9,2003,2.400844225,20852.18351,28.72,1220.4,0.435017323
9,2004,2.463119265,21477.87449,37.89,1344.48,0.505423226
9,2005,2.519105845,22725.35161,51.94,1338.02,0.523727609
9,2006,2.390449682,24681.09608,62.77,1189.3,0.48143647
9,2007,2.402550289,25736.27691,70.23,1236.6,0.445372701
9,2008,2.337524856,26665.77158,98.83,1267.83,0.415877144
9,2009,2.304166543,26459.28717,62.49,1153.85,0.400315411
9,2010,2.222621558,27260.55416,79.13,1298.28,0.384010497
9,2011,2.164041794,26769.42769,112.33,1089.29,0.389329265
9,2012,2.039212471,26438.14047,112.21,1347.73,0.427637133
9,2013,2.055598508,27936.0063,109.74,1336.17,0.597842418
